space,segment,offset,name,type,evidence,note
a5,,0x0004,ShadowRndSeed,long,MEASURED,Port parameter slot replacing Macintosh low-memory RndSeed
a5,,0x0008,ShadowWMgrPort,pointer,MEASURED,Port parameter slot replacing Macintosh WMgrPort
a5,,0x000C,ShadowGrayRgn,handle,MEASURED,Port parameter slot replacing Macintosh GrayRgn
a5,,0x0010,ShadowKeyMap,bytes16,MEASURED,Port parameter area retaining the complete KeyMap
a5,,-0x3678,PlayerObject,pointer,MEASURED,Current player object used by collision and police paths
a5,,-0x3764,FreewayMode,word,MEASURED,Zero on Main Map and one on Freeway Map
a5,,-0x542C,Difficulty,word,MEASURED,One Trainee two Rookie three Pro
a5,,-0x555A,CourseLeg,byte,MEASURED,Current course leg advanced by shipped finish handlers
a5,,-0x555C,CourseResultLatch,word,MEASURED,Result transition latch
a5,,-0x5532,PlayerVehicle,word,MEASURED,Selected player vehicle index
a5,,-0x5530,OpponentVehicle,word,MEASURED,Selected opponent vehicle index
a5,,-0x5082,LongCourseFlag,word,MEASURED,Selects long-course lifecycle
a5,,-0x5318,TourMode,word,MEASURED,Options menu Tour Mode flag
a5,,-0x5316,MouseSteering,word,MEASURED,Options Steering Mouse flag
a5,,-0x5312,KeyboardSteering,word,MEASURED,Options Steering Keyboard flag
a5,,-0x5310,KeypadSteering,word,MEASURED,Original shipped keypad mode flag
a5,,-0x5314,JoystickSteering,word,MEASURED,Options Steering Joystick flag
a5,,-0x367C,ActiveObjectEnd,pointer,MEASURED,End pointer of the active object-pointer array
lowmem,,0x0156,RndSeed,long,DERIVED,Macintosh system random seed
lowmem,,0x016A,Ticks,long,DERIVED,Macintosh 60 Hz tick counter
lowmem,,0x0172,MBState,byte,DERIVED,Macintosh mouse button state
lowmem,,0x0174,KeyMap,bytes16,DERIVED,Macintosh physical keyboard bitmap
lowmem,,0x0828,MTemp,point,DERIVED,Macintosh temporary mouse point
lowmem,,0x082C,RawMouse,point,DERIVED,Macintosh raw mouse point
lowmem,,0x0830,Mouse,point,DERIVED,Macintosh global mouse point
lowmem,,0x0904,CurrentA5,pointer,DERIVED,Current application globals base
lowmem,,0x09DE,WMgrPort,pointer,DERIVED,Window Manager port
lowmem,,0x09EE,GrayRgn,handle,DERIVED,Desktop gray region handle
